customer_id,age,gender,region,purchase_frequency,last_purchase_days_ago,product_category,feedback_score,churned
1001,58,male,north,9,63,clothing,2,0
1002,61,male,west,2,8,electronics,2,1
1003,56,male,south,18,108,clothing,4,0
1004,69,male,south,14,88,home_goods,2,1
1005,66,non-binary,north,3,98,electronics,3,0
1006,56,non-binary,north,15,138,electronics,4,1
1007,36,non-binary,south,3,12,clothing,3,0
1008,32,male,west,9,117,home_goods,2,1
1009,31,non-binary,north,20,163,clothing,5,0
1010,28,Other,west,9,164,clothing,3,0
1011,67,male,south,2,81,books,3,1
1012,54,non-binary,south,16,102,books,2,1
1013,33,non-binary,west,19,103,home_goods,2,0
1014,26,Other,north,2,29,clothing,2,0
1015,45,male,west,13,153,books,5,1
1016,53,male,north,18,69,home_goods,1,1
1017,28,Other,north,9,129,clothing,5,0
1018,58,non-binary,south,5,96,clothing,5,0
1019,51,male,east,16,5,electronics,3,0
1020,69,non-binary,south,2,62,electronics,1,0
1021,70,male,south,5,169,books,5,1
1022,51,Other,south,18,177,clothing,3,1
1023,60,non-binary,west,17,116,electronics,2,1
1024,39,male,south,19,57,electronics,1,0
1025,21,female,north,2,85,electronics,5,1
1026,60,Other,south,18,34,books,2,0
1027,69,Other,south,4,25,books,3,0
1028,47,male,north,2,104,home_goods,1,1
1029,30,Other,south,14,47,home_goods,4,1
1030,22,Other,north,2,167,electronics,1,0
1031,33,female,west,16,124,clothing,4,0
1032,28,Other,north,13,68,books,3,0
1033,64,Other,south,7,76,clothing,1,0
1034,52,male,east,2,13,books,5,0
1035,51,female,north,17,21,clothing,1,0
1036,61,female,west,4,146,clothing,5,1
1037,57,male,west,19,145,home_goods,3,1
1038,63,non-binary,south,9,102,clothing,3,0
1039,66,male,north,15,160,electronics,1,0
1040,50,non-binary,south,12,18,clothing,3,0
1041,46,non-binary,north,18,77,electronics,2,1
1042,24,female,east,10,155,clothing,3,1
1043,58,non-binary,west,9,14,electronics,4,0
1044,20,male,east,5,164,home_goods,2,0
1045,53,Other,north,4,20,clothing,5,1
1046,41,female,west,5,11,home_goods,3,0
1047,68,male,east,7,175,clothing,1,1
1048,53,Other,south,8,42,clothing,4,1
1049,65,non-binary,west,8,69,clothing,1,1
1050,20,Other,south,7,118,home_goods,3,0
1051,32,female,north,7,103,home_goods,3,0
1052,67,non-binary,east,17,103,home_goods,1,1
1053,34,female,east,2,28,books,3,0
1054,38,Other,north,13,148,clothing,3,1
1055,45,male,south,12,111,electronics,3,0
1056,60,male,east,17,80,books,3,0
1057,36,female,south,14,171,books,2,0
1058,37,Other,north,10,74,clothing,4,0
1059,56,non-binary,west,15,114,clothing,5,0
1060,68,female,north,10,132,home_goods,1,0
1061,66,female,east,8,51,clothing,1,1
1062,48,male,west,14,162,clothing,4,0
1063,33,female,north,4,109,clothing,2,0
1064,62,Other,north,18,64,electronics,4,1
1065,47,non-binary,west,20,130,books,5,0
1066,28,Other,west,9,64,home_goods,5,0
1067,33,non-binary,west,3,74,clothing,3,1
1068,52,male,south,5,60,books,2,0
1069,22,Other,west,11,139,books,4,1
1070,44,Other,north,19,98,books,1,0
1071,37,Other,west,18,140,clothing,4,1
1072,45,Other,north,13,87,books,2,0
1073,26,male,west,19,145,electronics,1,0
1074,26,Other,south,2,67,books,3,1
1075,38,non-binary,west,9,108,home_goods,1,0
1076,65,male,east,8,167,electronics,1,0
1077,33,female,north,20,40,clothing,2,0
1078,25,female,west,9,95,clothing,5,0
1079,65,male,south,10,28,electronics,3,0
1080,42,Other,south,3,152,clothing,1,1
1081,37,male,north,12,137,books,3,1
1082,59,non-binary,north,14,126,electronics,4,0
1083,58,Other,south,14,46,home_goods,5,0
1084,52,Other,west,14,152,home_goods,3,0
1085,23,non-binary,west,8,119,books,3,1
1086,38,female,west,7,91,home_goods,3,1
1087,56,non-binary,north,17,49,electronics,2,0
1088,49,female,west,16,115,electronics,1,1
1089,43,female,east,19,95,books,5,0
1090,45,non-binary,east,15,70,home_goods,3,1
1091,64,female,east,4,138,clothing,2,1
1092,48,non-binary,east,4,50,home_goods,2,1
1093,37,male,south,9,12,electronics,5,1
1094,26,Other,north,1,147,home_goods,4,1
1095,39,female,north,9,123,electronics,1,0
1096,22,male,south,5,145,home_goods,1,0
1097,25,Other,south,17,98,books,4,1
1098,55,Other,east,19,159,electronics,5,0
1099,24,female,south,9,170,electronics,2,1
1100,53,male,south,1,105,books,5,1
1101,20,female,east,10,180,books,1,0
1102,34,female,west,4,140,clothing,2,0
1103,70,female,north,2,43,home_goods,5,0
1104,54,non-binary,west,4,120,home_goods,4,0
1105,50,Other,west,3,154,electronics,4,0
1106,56,non-binary,north,3,59,electronics,3,0
1107,66,female,west,17,167,books,3,1
1108,55,Other,west,3,121,home_goods,4,1
1109,60,male,south,11,106,books,3,0
1110,43,male,west,3,81,home_goods,3,1
1111,67,Other,north,18,119,books,1,1
1112,41,Other,west,2,53,home_goods,5,1
1113,36,Other,west,4,8,clothing,2,1
1114,18,Other,north,8,30,books,1,0
1115,27,Other,east,17,70,books,4,0
1116,33,Other,south,13,49,clothing,1,1
1117,68,Other,east,17,69,electronics,3,0
1118,55,Other,south,15,138,books,3,1
1119,66,Other,west,11,49,clothing,5,1
1120,67,Other,north,11,122,books,4,0
