customer_id,age,gender,region,purchase_frequency,last_purchase_days_ago,product_category,feedback_score
1001,28,female,west,5,10,electronics,4
1002,45,male,east,2,55,books,2
1003,34,non-binary,midwest,8,3,home_goods,5
1004,52,male,south,1,98,clothing,1
1005,22,female,west,12,1,electronics,5
1006,60,male,east,3,25,clothing,3
1007,31,female,midwest,6,8,books,4
1008,41,male,south,4,15,home_goods,3
1009,29,female,west,7,6,electronics,5
1010,38,male,east,2,40,clothing,2
1011,55,male,midwest,1,120,books,1
1012,27,female,south,9,4,home_goods,5
1013,49,male,west,3,30,electronics,3
1014,35,female,east,5,11,clothing,4
1015,48,male,midwest,2,65,books,2
1016,25,female,south,10,2,home_goods,5
1017,33,male,west,6,9,electronics,4
1018,44,female,east,4,20,clothing,3
1019,58,male,midwest,1,105,books,1
1020,30,female,south,8,5,home_goods,5
1021,26,male,west,7,7,electronics,5
1022,50,female,east,2,50,clothing,2
1023,37,male,midwest,3,22,books,3
1024,42,female,south,4,18,home_goods,4
1025,62,male,west,1,115,electronics,1
1026,24,female,east,11,2,clothing,5
1027,39,male,midwest,5,14,books,4
1028,46,female,south,3,35,home_goods,3
1029,51,male,west,2,70,electronics,2
1030,36,female,east,6,7,clothing,4
1031,23,male,midwest,9,3,books,5
1032,53,female,south,1,90,home_goods,1
1033,40,male,west,4,16,electronics,3
1034,28,female,east,7,6,clothing,5
1035,59,male,midwest,2,60,books,2
1036,47,female,south,3,28,home_goods,3
1037,32,male,west,5,13,electronics,4
1038,54,female,east,1,100,clothing,1
1039,43,male,midwest,4,20,books,3
1040,29,female,south,8,4,home_goods,5
1041,65,male,west,1,150,electronics,1
1042,21,female,east,12,1,clothing,5
1043,30,male,midwest,6,10,books,4
1044,56,female,south,2,45,home_goods,2
1045,38,male,west,4,17,electronics,3
1046,45,female,east,3,26,clothing,3
1047,57,male,midwest,1,110,books,1
1048,26,female,south,9,3,home_goods,5
1049,49,male,west,3,29,electronics,3
1050,34,female,east,5,12,clothing,4
1051,41,male,midwest,2,55,books,2
1052,25,female,south,10,2,home_goods,5
1053,52,male,west,1,95,electronics,1
1054,36,female,east,7,5,clothing,5
1055,60,male,midwest,2,65,books,2
1056,29,female,south,8,6,home_goods,5
1057,48,male,west,3,32,electronics,3
1058,31,female,east,6,8,clothing,4
1059,54,male,midwest,1,108,books,1
1060,28,female,south,9,4,home_goods,5
1061,35,male,west,5,15,electronics,4
1062,42,female,east,4,20,clothing,3
1063,61,male,midwest,1,130,books,1
1064,23,female,south,11,2,home_goods,5
1065,47,male,west,3,34,electronics,3
1066,39,female,east,5,13,clothing,4
1067,50,male,midwest,2,70,books,2
1068,27,female,south,10,3,home_goods,5
1069,53,male,west,1,98,electronics,1
1070,33,female,east,7,6,clothing,5
1071,46,male,midwest,3,28,books,3
1072,24,female,south,9,5,home_goods,5
1073,58,male,west,1,120,electronics,1
1074,30,female,east,8,4,clothing,5
1075,44,male,midwest,4,19,books,4
1076,55,female,south,2,50,home_goods,2
1077,37,male,west,5,11,electronics,4
1078,29,female,east,6,7,clothing,4
1079,62,male,midwest,1,140,books,1
1080,21,female,south,12,1,home_goods,5
1081,40,male,west,4,25,electronics,3
1082,51,female,east,2,60,clothing,2
1083,32,male,midwest,7,8,books,5
1084,43,female,south,3,35,home_goods,3
1085,50,male,west,2,68,electronics,2
1086,34,female,east,5,10,clothing,4
1087,57,male,midwest,1,115,books,1
1088,26,female,south,10,2,home_goods,5
1089,45,male,west,3,30,electronics,3
1090,38,female,east,4,20,clothing,3
1091,59,male,midwest,1,130,books,1
1092,25,female,south,9,4,home_goods,5
1093,48,male,west,2,65,electronics,2
1094,31,female,east,7,6,clothing,5
1095,52,male,midwest,1,98,books,1
1096,22,female,south,11,2,home_goods,5
1097,49,male,west,3,33,electronics,3
1098,36,female,east,6,9,clothing,4
1099,60,male,midwest,1,118,books,1
1100,28,female,south,8,5,home_goods,5
